benchmarks/smartbench-dataset/solidity/solidifi++/Timestamp-Dependency/buggy_37.sol,Access Control,None,buggy_37.sol:126:None-126:None,
benchmarks/smartbench-dataset/solidity/solidifi++/Timestamp-Dependency/buggy_2.sol,Access Control,None,buggy_2.sol:193:None-193:None,
,,,,{'num_detected_in_annot': {'Unchecked Send Ether': 32}, 'num_detected_not_in_annot': {'Block Values Dependency (BlockValueDependencySensitive)': 5, 'Lack of Zero-Address Validation': 1, 'Integer Overflow': 1, 'Arbitrary External Call': 32, 'Integer Underflow': 2, 'ERC20 Access Control': 3}}
benchmarks/smartbench-dataset/solidity/solidifi++/Timestamp-Dependency/buggy_25.sol,Access Control,None,buggy_25.sol:43:None-43:None,
benchmarks/smartbench-dataset/solidity/solidifi++/Timestamp-Dependency/buggy_18.sol,Access Control,None,buggy_18.sol:253:None-253:None,
,,,,{'num_detected_in_annot': {'Reentrancy (REENTRANCY)': 5}, 'num_detected_not_in_annot': {'Unchecked Send Ether': 8, 'Unhandled Exception': 2, 'Lack of Zero-Address Validation': 3, 'Arbitrary External Call': 12, 'Access Control': 2}}
benchmarks/smartbench-dataset/solidity/solidifi++/Re-entrancy/buggy_36.sol,Access Control,None,buggy_36.sol:535:None-535:None,
,,,,{'num_detected_in_annot': {'Unchecked Send Ether': 1, 'Unsafe Selfdestruct': 1}, 'num_detected_not_in_annot': {'ERC20 Access Control': 1, 'ERC20 Leak': 2, 'Unchecked Send Ether': 1, 'Assertion Failure': 1, 'Access Control': 1, 'Arbitrary External Call': 1}}
benchmarks/smartbench-dataset/solidity/solidifi++/Timestamp-Dependency/buggy_7.sol,Access Control,None,buggy_7.sol:305:None-305:None,
benchmarks/smartbench-dataset/solidity/verismart++/cve/2018-13085.sol,ERC20 Access Control,None,2018-13085.sol:189:None-189:None,
benchmarks/smartbench-dataset/solidity/solidifi++/Timestamp-Dependency/buggy_42.sol,Access Control,None,buggy_42.sol:39:None-39:None,
benchmarks/smartbench-dataset/solidity/solidifi++/Timestamp-Dependency/buggy_12.sol,Access Control,None,buggy_12.sol:333:None-333:None,
benchmarks/smartbench-dataset/solidity/smartbugs++/reentrancy/0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,Access Control,None,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol:95:None-95:None,
,,,,{'num_detected_in_annot': {'Unsafe Selfdestruct': 1}, 'num_detected_not_in_annot': {'Assertion Failure': 2, 'Unchecked Send Ether': 4, 'Block Values Dependency (BlockValueDependency)': 7, 'Lack of Zero-Address Validation': 2, 'Reentrancy (REENTRANCY_READONLY)': 1, 'Access Control': 2, 'Arbitrary External Call': 1}}
benchmarks/smartbench-dataset/solidity/verismart++/leaking_suicidal/0x0f7524d64ceb92dae1d1a56b20b6d520134795d4.sol,ERC20 Access Control,None,0x0f7524d64ceb92dae1d1a56b20b6d520134795d4.sol:60:None-60:None,
benchmarks/smartbench-dataset/solidity/solidifi++/Timestamp-Dependency/buggy_17.sol,Access Control,None,buggy_17.sol:58:None-58:None,
benchmarks/smartbench-dataset/solidity/solidifi++/Timestamp-Dependency/buggy_25.sol,Access Control,None,buggy_25.sol:94:None-94:None,
benchmarks/smartbench-dataset/solidity/verismart++/cve/2018-13777.sol,ERC20 Access Control,None,2018-13777.sol:160:None-160:None,
benchmarks/smartbench-dataset/solidity/solidifi++/Timestamp-Dependency/buggy_10.sol,Access Control,None,buggy_10.sol:38:None-38:None,
benchmarks/smartbench-dataset/solidity/verismart++/cve/2018-13494.sol,ERC20 Access Control,None,2018-13494.sol:122:None-122:None,
benchmarks/smartbench-dataset/solidity/verismart++/cve/2018-13653.sol,ERC20 Access Control,None,2018-13653.sol:169:None-169:None,
