filename,bug_type,original_bug_type,locations,verified
benchmarks/real-hacks/access_control/brahTOG/BrahTOPG.sol,Reentrancy,REENTRANCY_READONLY,BrahTOPG.sol:374:None-374:None,
benchmarks/real-hacks/access_control/ROI/ROI.sol,Reentrancy,REENTRANCY_READONLY,ROI.sol:1177:None-1177:None,
benchmarks/real-hacks/access_control/RubicProxy/RubicProxy.sol,Reentrancy,REENTRANCY_READONLY,RubicProxy.sol:190:None-190:None,
benchmarks/real-hacks/access_control/RubicProxy/RubicProxy.sol,Reentrancy,REENTRANCY_READONLY,RubicProxy.sol:264:None-264:None,
benchmarks/real-hacks/access_control/TempleDAO/StaxLPStaking.sol,Reentrancy,REENTRANCY_READONLY,StaxLPStaking.sol:390:None-392:None,
benchmarks/real-hacks/access_control/TempleDAO/StaxLPStaking.sol,Reentrancy,REENTRANCY_READONLY,StaxLPStaking.sol:394:None-397:None,
benchmarks/real-hacks/access_control/TempleDAO/StaxLPStaking.sol,Reentrancy,REENTRANCY_READONLY,StaxLPStaking.sol:399:None-405:None,
benchmarks/real-hacks/access_control/TempleDAO/StaxLPStaking.sol,Reentrancy,REENTRANCY_READONLY,StaxLPStaking.sol:435:None-437:None,
benchmarks/real-hacks/access_control/TempleDAO/StaxLPStaking.sol,Reentrancy,REENTRANCY_READONLY,StaxLPStaking.sol:520:None-524:None,
benchmarks/real-hacks/access_control/TempleDAO/StaxLPStaking.sol,Reentrancy,REENTRANCY_READONLY,StaxLPStaking.sol:522:None-522:None,
benchmarks/real-hacks/access_control/TempleDAO/StaxLPStaking.sol,Reentrancy,REENTRANCY_READONLY,StaxLPStaking.sol:535:None-537:None,
benchmarks/real-hacks/access_control/TempleDAO/StaxLPStaking.sol,Reentrancy,REENTRANCY_READONLY,StaxLPStaking.sol:692:None-692:None,
benchmarks/real-hacks/access_control/ULME/ULME.sol,Reentrancy,REENTRANCY_READONLY,ULME.sol:839:None-839:None,
benchmarks/real-hacks/access_control/ULME/ULME.sol,Reentrancy,REENTRANCY_READONLY,ULME.sol:875:None-875:None,
benchmarks/real-hacks/access_control/ULME/ULME.sol,Reentrancy,REENTRANCY_READONLY,ULME.sol:883:None-883:None,
benchmarks/real-hacks/address_validation/qubit_finance/QBridgeHandler.sol,Reentrancy,REENTRANCY_READONLY,QBridgeHandler.sol:1190:None-1190:None,
benchmarks/real-hacks/address_validation/qubit_finance/QBridgeHandler.sol,Reentrancy,REENTRANCY_READONLY,QBridgeHandler.sol:1231:None-1231:None,
benchmarks/real-hacks/address_validation/qubit_finance/QBridgeHandler.sol,Reentrancy,REENTRANCY_READONLY,QBridgeHandler.sol:324:None-324:None,
benchmarks/real-hacks/address_validation/qubit_finance/QBridgeHandler.sol,Reentrancy,REENTRANCY_READONLY,QBridgeHandler.sol:335:None-335:None,
benchmarks/real-hacks/address_validation/qubit_finance/QBridgeHandler.sol,Reentrancy,REENTRANCY_READONLY,QBridgeHandler.sol:340:None-340:None,
benchmarks/real-hacks/arithmetic/Umbrella_Network/StakingRewards.sol,Reentrancy,REENTRANCY_READONLY,StakingRewards.sol:1419:None-1419:None,
benchmarks/real-hacks/reentrancy/N00d/N00d.sol,Reentrancy,REENTRANCY_READONLY,N00d.sol:769:None-769:None,
