2018-11446.sol,GRX,0.4.16
2018-13225.sol,MyYLCToken,0.4.13
2018-13129.sol,SPXToken,0.4.19
2018-13132.sol,SpadeIco,0.4.19
2018-13778.sol,CGCToken,0.4.21
2018-13228.sol,Crowdnext,0.4.19-nightly.2017.11.11
2018-14006.sol,NGToken,0.4.18
2018-13722.sol,HYIPToken,0.4.12
2018-14084.sol,MyAdvancedToken,0.4.16
2018-13836.sol,RocketCoin,0.4.18
2018-14063.sol,Tracto,0.4.16
2018-13670.sol,GFCB,0.4.24
2018-13695.sol,CTest7,0.4.16
2018-11561.sol,ERC20Token,0.4.18
2018-13127.sol,DSPXToken,0.4.19
2018-10299.sol,BecToken,0.4.19
2018-13126.sol,MoxyOnePresale,0.4.18
2018-13220.sol,MAVCash,0.4.11
2018-11687.sol,BitcoinRed,0.4.18
2018-10376.sol,SMT,0.4.18
2018-12070.sol,SEC,0.4.18
2018-14086.sol,MyToken,0.4.23
2018-11429.sol,ATL,0.4.16
2018-17050.sol,PolyAi,0.4.14
2018-11239.sol,Hexagon,0.4.18
2018-14004.sol,developer_Crowdsale,0.4.19
2018-13131.sol,SpadePreSale,0.4.19
2018-13703.sol,CERB_Coin,0.4.21
2018-13144.sol,HumanStandardToken,0.4.24
2018-13493.sol,DaddyToken,0.4.16
2018-18665.sol,NexxusToken,0.4.15
2018-13779.sol,MyYLCToken,0.4.13
2018-13698.sol,Play2LivePromo,0.4.20
2018-14005.sol,MalaysianCoin,0.4.19
2018-10706.sol,Token,0.4.22-nightly.2018.3.16
2018-12230.sol,RemiCoin,0.4.11
2018-13230.sol,DestiNeedToken,0.4.17
2018-13327.sol,ChuCunLingAIGO,0.4.18
2018-13189.sol,UNLB,0.4.18
2018-14087.sol,EncryptedToken,0.4.16
2018-13221.sol,ExtremeToken,0.4.14
2018-14002.sol,MP3Coin,0.4.18
2018-13325.sol,GrowToken,0.4.18
2018-13533.sol,ALUXToken,0.4.18
2018-14576.sol,SunContractToken,0.4.11
2018-14003.sol,WMCToken,0.4.16
2018-11411.sol,DimonCoin,0.4.16
2018-13782.sol,EnterCoin,0.4.16
2018-13783.sol,JiucaiToken,0.4.21
2018-14001.sol,Shark,0.4.11
2018-14089.sol,Virgo_ZodiacToken,0.4.21
2018-10468.sol,UselessEthereumToken,0.4.11
2018-13777.sol,RRToken,0.4.19-nightly.2017.10.18
2018-13227.sol,MoneyChainNetToken,0.4.17
2018-13202.sol,MyBoToken,0.4.11
2018-13128.sol,ETY,0.4.21
2018-13208.sol,MoneyTreeToken,0.4.17
2018-13625.sol,Krown,0.4.13
